race_id,name,circuit,country,date,season
1121,Bahrain Grand Prix,Bahrain International Circuit,Bahrain,2024-03-02,2024
1122,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Saudi Arabia,2024-03-09,2024
1123,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,2024-03-24,2024
1124,Japanese Grand Prix,Suzuka Circuit,Japan,2024-04-07,2024
1125,Chinese Grand Prix,Shanghai International Circuit,China,2024-04-21,2024
1126,Miami Grand Prix,Miami International Autodrome,USA,2024-05-05,2024
1127,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Italy,2024-05-19,2024
1128,Monaco Grand Prix,Circuit de Monaco,Monaco,2024-05-26,2024
1129,Canadian Grand Prix,Circuit Gilles Villeneuve,Canada,2024-06-09,2024
1130,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Spain,2024-06-23,2024
1131,Austrian Grand Prix,Red Bull Ring,Austria,2024-06-30,2024
1132,British Grand Prix,Silverstone Circuit,UK,2024-07-07,2024
1133,Hungarian Grand Prix,Hungaroring,Hungary,2024-07-21,2024
1134,Belgian Grand Prix,Circuit de Spa-Francorchamps,Belgium,2024-07-28,2024
1135,Dutch Grand Prix,Circuit Park Zandvoort,Netherlands,2024-08-25,2024
1136,Italian Grand Prix,Autodromo Nazionale di Monza,Italy,2024-09-01,2024
1137,Azerbaijan Grand Prix,Baku City Circuit,Azerbaijan,2024-09-15,2024
1138,Singapore Grand Prix,Marina Bay Street Circuit,Singapore,2024-09-22,2024
1139,United States Grand Prix,Circuit of the Americas,USA,2024-10-20,2024
1140,Mexico City Grand Prix,Autódromo Hermanos Rodríguez,Mexico,2024-10-27,2024
1141,São Paulo Grand Prix,Autódromo José Carlos Pace,Brazil,2024-11-03,2024
1142,Las Vegas Grand Prix,Las Vegas Strip Street Circuit,United States,2024-11-23,2024
1143,Qatar Grand Prix,Losail International Circuit,Qatar,2024-12-01,2024
1144,Abu Dhabi Grand Prix,Yas Marina Circuit,UAE,2024-12-08,2024
