result_id,race_id,driver_id,position,points,grid_position,status,fastest_lap,is_sprint
26286,1121,max_verstappen,1,26,1,Finished,1:32.608,false
26287,1121,perez,2,18,5,Finished,1:34.364,false
26288,1121,sainz,3,15,4,Finished,1:34.507,false
26289,1121,leclerc,4,12,2,Finished,1:34.090,false
26290,1121,russell,5,10,3,Finished,1:35.065,false
26291,1121,norris,6,8,7,Finished,1:34.476,false
26292,1121,hamilton,7,6,9,Finished,1:34.722,false
26293,1121,piastri,8,4,8,Finished,1:34.983,false
26294,1121,alonso,9,2,6,Finished,1:34.199,false
26295,1121,stroll,10,1,12,Finished,1:35.632,false
26296,1121,zhou,11,0,17,+1 Lap,1:35.458,false
26297,1121,kevin_magnussen,12,0,15,+1 Lap,1:35.570,false
26298,1121,ricciardo,13,0,14,+1 Lap,1:35.163,false
26299,1121,tsunoda,14,0,11,+1 Lap,1:35.833,false
26300,1121,albon,15,0,13,+1 Lap,1:35.723,false
26301,1121,hulkenberg,16,0,10,+1 Lap,1:34.834,false
26302,1121,ocon,17,0,19,+1 Lap,1:36.226,false
26303,1121,gasly,18,0,20,+1 Lap,1:34.805,false
26304,1121,bottas,19,0,16,+1 Lap,1:36.202,false
26305,1121,sargeant,20,0,18,+2 Laps,1:34.735,false
26306,1122,max_verstappen,1,25,1,Finished,1:31.773,false
26307,1122,perez,2,18,3,Finished,1:32.273,false
26308,1122,leclerc,3,16,2,Finished,1:31.632,false
26309,1122,piastri,4,12,5,Finished,1:32.310,false
26310,1122,alonso,5,10,4,Finished,1:32.387,false
26311,1122,russell,6,8,7,Finished,1:32.254,false
26312,1122,bearman,7,6,11,Finished,1:32.186,false
26313,1122,norris,8,4,6,Finished,1:31.944,false
26314,1122,hamilton,9,2,8,Finished,1:31.746,false
26315,1122,hulkenberg,10,1,15,Finished,1:32.366,false
26316,1122,albon,11,0,12,Finished,1:32.307,false
26317,1122,kevin_magnussen,12,0,13,Finished,1:32.338,false
26318,1122,ocon,13,0,17,+1 Lap,1:33.481,false
26319,1122,sargeant,14,0,19,+1 Lap,1:33.523,false
